Key;Issue id;Summary;Priority;Custom field (Test Type);Resolution;Created;Custom field (TestRunStatus);Reporter;Assignee;Custom field (Test Repository Path);Custom field (Lokasyon Text);Custom field (Location Code);Inward issue link (Defect);Inward issue link (Defect);Outward issue link (Defect);Outward issue link (Gantt End to End);Inward issue link (Gantt End to Start);Inward issue link (Parents);Inward issue link (Relates);Inward issue link (Relates);Outward issue link (Relates);Outward issue link (Relates);Inward issue link (Tests)
CONG-1258;854792;Fatura arama kutusunda fiyat ile arama yapılırken sorun çıkması;Medium;;Done;19/Jan/22 3:29 PM;;C9013627;C9011306;;;;CONG-2027;;;;;;;;;;
CONG-1474;906222;Polonya hiyerarşi sorumlusundan fatura sahibine gönderilen bir faturanın fatura kalemlerinin setli bir şekilde gelmemesi;Medium;;Done;09/Feb/22 2:24 PM;;C9013627;C9013627;;;;CONG-1242;;;;;;;;;;
CONG-1475;906234;Polonya fatura sahibi aşamasında ilgili mali işler grubu alanının boşalması;Medium;;Done;09/Feb/22 2:36 PM;;C9013627;C9011725;;;;CONG-1242;;;;;;;;;;
CONG-1688;938289;Direktör kart üzerinden onay yapıldığı zaman faturanın ekrandan kaybolmaması (fast approve);High;;Done;23/Feb/22 1:42 PM;;C9013627;C9011306;;;;CONG-1695;;;;;;;;;;
CONG-1730;939025;10.000 PLN üstü limit akışında direktörden üst direktöre gitmesi;Medium;;Done;23/Feb/22 4:35 PM;;C9013627;C9011726;;;;CONG-1695;;;;;;;;;;
CONG-1778;947686;Faturanın ilerletilirken unhandled exception hatası alması;Medium;;Done;28/Feb/22 11:50 AM;;C9013627;C9011726;;;;CONG-1242;;;;;;;;;;
CONG-1994;964785;Faturaya dosya boyutu sınırının altında dosya yüklemesi yapılırken yanlış hata alınması;Blocker;;;08/Mar/22 12:33 PM;;C9013625;C9004632;;;;CONG-1959;;;;;;;;;;
CONG-2168;958240;yurtdısı tedarikci bilgileriyle talep onaya gönderildiği durumda onay akısı olusturulamadı bildiirmi alınması;Medium;;Won't Do;04/Mar/22 10:03 AM;;C9013624;26049796;;;;CONG-2290;;;;;;;;;;
CONG-2169;962417;Ödeme Vade Değişim İstek Listesi Sayfasında Sıralama  İşleminin Doğru Çalışamaması;Medium;;Done;07/Mar/22 2:04 PM;;C9013624;26067460;;;;CONG-2269;;;;;;;;;;
CONG-2172;962486;Filtreleme İşlemi Yapılan Pop Up Ekranın Filtreleme Sonrası Kapanmaması;Medium;;Done;07/Mar/22 3:09 PM;;C9013624;26067460;;;;CONG-2268;;;;;;;;;;
CONG-2510;989813;Vade Artışı işleminde bitmiş formda yorum alanın formda gereksiz gözükmesi;Medium;;Done;21/Mar/22 2:01 PM;;C9013624;26067460;;;;CONG-2284;;;;;;;;;;
CONG-2659;999670;Onay Yetkisine Sahip Kullanıcının Aynı Talebi Farkli Sayfalarda Onaylamasıyla Hata Bildirimi Alamaması;Medium;;Done;24/Mar/22 9:10 PM;;C9013624;26067460;;;;CONG-2660;;;;;;;;;;
CONG-3039;1029449;Form Kaydetme İşleminde Seçili Olmayan Alanlanın Gelmesi;Medium;;Done;06/Apr/22 6:37 PM;;C9013624;26049796;;;;CONG-2263;;;;;;;;;;
CONG-3040;1029450;Kaydetme İşleminde İşlem Tipi Secilmediği Halde kart Görünümünde İşlem Tipi Bulunması;Medium;;Done;06/Apr/22 6:40 PM;;C9013624;26049796;;;;CONG-2251;;CONG-2228;;;;;;;;
CONG-3244;1046638;Kullanıcının Vade tipi Satıcı Ana Verisi Sözleşme' de Kaydedilen Talebin Sözleşmeleri Seçilmeden Onaya Gönderebiliyor Olması;Medium;;Done;14/Apr/22 3:39 PM;;C9013624;26067460;;;;CONG-3241;;;;;;;;;;
CONG-3818;1054852;Test otomasyon sürecine masraf ögesi kontrolü eklenmesi.;Medium;;Done;19/Apr/22 2:48 PM;;26069396;C9015107;;;;;;;;;CONG-4262;CONG-1903;;CONG-1202;;
CONG-3821;1071884;Zorunlu Alan Doldurulduğu Halde Alan Zorunludur Hata Mesajnın Alınması;Medium;;Done;28/Apr/22 5:55 PM;;C9013624;26067460;;;;CONG-2253;;;;;;;;;;
CONG-3998;1087488;"Formda vazgeçme,onaylama,silme ve onaya gönder fonksiyonunda yönlendirilecek iki farklı seçeneğe sahip olmaması";Medium;;Done;12/May/22 10:38 AM;;C9013624;26067460;;;;CONG-3241;;;;;;;;;;
CONG-4004;1088010;"SAP | Hafta sonu/Resmi tatil günlerinin takvimde görünmemesi";Blocker;;Done;12/May/22 12:02 PM;;C9012751;C9013948;;;;CONG-5234;;;;;;;;CONG-5234;;
CONG-4007;1088367;Formda ingilizce dili seçili iken sayfada bazı alanların farklı dilde gelmesi;Medium;;Done;12/May/22 3:20 PM;;C9013624;26067460;;;;CONG-2200;;;;;;;;;;
CONG-4079;1097182;Uyarı mesajı içeriğinin kulanıcının anlayabileceği formatta olmaması;Medium;;Done;17/May/22 5:56 PM;;C9013624;26067460;;;;CONG-2660;;;;;;;;;;
CONG-4084;1103821;ConnectaG impersonation girişi yapıldığında HTTP 500 hatası vermesi ( 26003028-Büşra Nur Bozkurt );High;;Done;23/May/22 10:03 AM;;C9015107;26069396;;;;;;;;;;;;CONG-1890;;
CONG-4132;1109353;Software-Application masraf tipindeki paket hatası senaryosu;Medium;;Done;25/May/22 2:00 PM;;C9015107;C9015107;;;;;;;;;;;;CONG-1902;;
CONG-4253;1119367;Saatlik izin talebinde bulunurken saat seçiminin açılması çok uzun sürüyor.;Medium;;Done;31/May/22 11:16 AM;;26075977;C9014551;;;;CONG-1598;;;;;PRJ-757;;;CONG-1598;;
CONG-4294;1125027;"Formun tedarikçi alanında, müşterisi olan seçili tedarikçinin müşterisi olan müşterisi olmayan şekilde iki ayrı tedarikçi gibi görüntülenmesi";Medium;;Done;01/Jun/22 2:20 PM;;C9013624;C9013170;;;;CONG-2263;;;;;;;;;;
CONG-4322;1127048;Dosya Yükleme Hatası Boyut 5 MB;Medium;;Done;02/Jun/22 11:59 AM;;C9013957;;;;;CONG-2295;;;;;PRJ-757;;;;;
CONG-4412;1134080;Masraf Kategorisi Seçildikten Sonra Alınan 500 Hatası;High;;Done;06/Jun/22 4:51 PM;;C9015107;C9015107;;;;;;;;;;CONG-1355;;;;
CONG-4488;1143952;Satıcının Var Olan Sözleşmesinin Ödeme Koşulu Boş Gelmektedir;Medium;;Done;10/Jun/22 2:03 PM;;C9013624;C9013170;;;;CONG-4478;;;;;;;;;;
CONG-4516;1149389;Doldurulmus alanın kullanıcıya onaya gönderme aşamasında alanı doldurunuz hata mesajının  alınması;Medium;;Done;14/Jun/22 3:04 PM;;C9013624;26067460;;;;;;CONG-3572;;;;;;;;
