Key;Id;Summary;Priority;Test Type;Resolution;Created;TestRunStatus;Reporter;Assignee;Test Repository Path
CONG-11824;1798662;Annual Leave talebinin delete butonuyla iptal edilmesi;High;Generic;;05/Apr/23 12:13 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Malaysia/Regresyon
CONG-11823;1798661;Annual Leave talebinin reddedilmesi;Blocker;Generic;;05/Apr/23 12:12 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Malaysia/Regresyon
CONG-11822;1798659;Onay bekleniyor statüsündeki Annual Leave talebinde değişiklik yapmak;High;Generic;;05/Apr/23 12:11 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Malaysia/Regresyon
CONG-11821;1798657;Annual Leave talebi onaylanması;Blocker;Generic;;05/Apr/23 12:10 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Malaysia/Regresyon
CONG-11787;1793744;Annual Leave talebinin delete butonuyla iptal edilmesi;High;Generic;;03/Apr/23 4:01 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Vietnam/Regresyon
CONG-11786;1793742;Annual Leave talebinin reddedilmesi;Blocker;Generic;;03/Apr/23 4:01 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Vietnam/Regresyon
CONG-11785;1793741;Onay bekleniyor statüsündeki Annual Leave talebinde değişiklik yapmak;High;Generic;;03/Apr/23 4:00 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Vietnam/Regresyon
CONG-11783;1793733;Annual Leave talebi onaylanması;Blocker;Generic;;03/Apr/23 3:56 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Vietnam/Regresyon
CONG-11743;1788305;Annual Leave talebinin delete butonuyla iptal edilmesi;High;Generic;;31/Mar/23 1:32 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Indonesia/Regresyon
CONG-11742;1788302;Annual Leave talebinin reddedilmesi;Blocker;Generic;;31/Mar/23 1:28 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Indonesia/Regresyon
CONG-11741;1787935;Onay bekleniyor statüsündeki Annual Leave talebinde değişiklik yapmak;High;Generic;;31/Mar/23 1:23 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Indonesia/Regresyon
CONG-11736;1787912;Annual Leave talebi onaylanması;Blocker;Generic;;31/Mar/23 1:13 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Indonesia/Regresyon
CONG-11680;1783488;DeleteAndCancelFlowPreApproval / PreApproval Masrafın Silinmesi;Medium;Cucumber;Done;30/Mar/23 11:41 AM;FAIL;C9015107;C9015107;/MasrafAPI/DELETE
