Key;Id;Summary;Priority;Test Type;Resolution;Created;TestRunStatus;Reporter;Assignee;Test Repository Path
CONG-1085;801873;Hiyerarsi Sorumlusu Faturayı Onaylandıktan Sonra Yeni Sekmede Onay Butonunun Aktif Olmaması;Medium;Generic;Done;23/Dec/21 3:51 PM;TODO;C9029068;C9029068;/Fatura/Polonya/KontrolSenaryolari
CONG-1189;834146;Adblue masraf tipi yetkisi bulunmayan kullanıcı, masraf girişi yapmak istediğinde ekranda iş kesici mesajın kontrolünün senaryosu;Medium;Generic;Done;11/Jan/22 11:18 AM;PASS;C9013738;C9015107;/Masraf/Turkiye-Arçelik A.Ş/RegresyonSeti/IsKesiciEkranMesajlarınınTestSenaryolari
CONG-1210;840119;Hiyerarşi Sorumlusunun Faturayı Doldurup Hiyerarşi Sorumlusuna İletmesi;Medium;Generic;Done;13/Jan/22 3:03 PM;ABORTED;C9029068;C9029068;/Fatura/Polonya/SmokeTest
CONG-1242;849619;Fatura Sahibi aşamasının test otomasyonu.;Medium;Generic;Done;18/Jan/22 3:46 PM;ABORTED;C9029068;C9029068;/Fatura/Polonya/AkisSenaryolari
CONG-1287;866484;Fatura Arama Ekranında View Kontrolu;Low;Generic;Done;24/Jan/22 5:22 PM;TODO;C9029068;C9029068;/Fatura/Polonya/KontrolSenaryolari
CONG-1288;866490;Fatura Arama Ekranında Gecerli Bir Tarih Ile Fatura Aratma;Low;Generic;Done;24/Jan/22 5:26 PM;TODO;C9029068;C9029068;/Fatura/Polonya/KontrolSenaryolari
CONG-1290;867588;Fatura Arama Ekraninda Hatali Tarih Ile Aratma;Low;Generic;Done;25/Jan/22 11:01 AM;TODO;C9029068;C9029068;/Fatura/Polonya/KontrolSenaryolari
CONG-1291;867595;Fatura Arama Ekraninda Gecerli Fatura Sahibi Ile Aratma;Low;Generic;Done;25/Jan/22 11:04 AM;TODO;C9029068;C9029068;/Fatura/Polonya/KontrolSenaryolari
CONG-1300;870427;Fatura Arama Ekraninda Rastgele/Ozel Karakterler Ile Aratma;Low;Generic;Done;26/Jan/22 11:53 AM;TODO;C9029068;C9029068;/Fatura/Polonya/KontrolSenaryolari
CONG-1301;870428;Fatura Arama Ekraninda Gecerli Firma Adi Ile Aratma;Low;Generic;Done;26/Jan/22 11:57 AM;TODO;C9029068;C9029068;/Fatura/Polonya/KontrolSenaryolari
CONG-1302;870433;Fatura Arama Ekraninda Gecerli Bir Fatura Numarasi Ile Aratma;Low;Generic;Done;26/Jan/22 11:59 AM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1303;870437;Fatura Arama Ekraninda Gecerli Sassiz Fatura Aratma;Low;Generic;Done;26/Jan/22 12:01 PM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1304;870440;Fatura Arama Ekranında Masraf Ana Kategorisi Ile Fatura Aratma;Low;Generic;Done;26/Jan/22 12:05 PM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1305;870441;Fatura Arama Ekranında Fatura Notu Ile Fatura Aratma;Low;Generic;Done;26/Jan/22 12:08 PM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1306;870442;Fatura Arama Ekranında TAB Ile Geçiş Yapılması;Low;Generic;Done;26/Jan/22 12:10 PM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1307;870446;Fatura Bilgisi Ekraninda PDF ve Toggle Kontrolu;Low;Generic;Done;26/Jan/22 12:14 PM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1308;870447;Faturanin Save ve Check It Kontrolü;Low;Generic;Done;26/Jan/22 12:16 PM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1309;870448;Fatura Kalemlerinde PDF Kontrolu;Low;Generic;Done;26/Jan/22 12:18 PM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1310;870450;Fatura Kalemlerinde Yeni Satır Eklemeve  Silme;Low;Generic;Done;26/Jan/22 12:20 PM;PASS;C9013469;C9013469;/Fatura/Polonya/SmokeTest
CONG-1311;870453;Fatura Ekranında Toplam Kayıt Sayısı Kontrolu;Low;Generic;Done;26/Jan/22 12:23 PM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1317;877595;Fatura atılması yoluyla sisteme fatura eklenebildiğinin görülmesi.;Medium;Manual;;28/Jan/22 11:22 AM;TODO;C9013469;C9013469;/Fatura/Polonya/AkisSenaryolari/ManuelTestler
CONG-1318;877806;Yönetici Onayı aşamasının test otomasyonu.;Medium;Generic;Done;28/Jan/22 11:37 AM;ABORTED;C9029068;C9029068;/Fatura/Polonya/AkisSenaryolari
CONG-1330;883399;Anasayfa Türkce Dil Seçeneği Kontrolu;Low;Generic;Done;31/Jan/22 12:34 PM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1331;883401;Arama Sayfasında Türkçe Dil Seçeneği Kontrolu;Low;Generic;Done;31/Jan/22 12:35 PM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1355;887577;Türkiye kullanıcısı ile Otopark/Toplantı tipinde bir masraf oluşturulması senaryosunun test otomasyonu;High;Generic;Done;01/Feb/22 12:11 PM;PASS;C9011306;C9015107;/Masraf/Turkiye-Arçelik A.Ş/RegresyonSeti/AkisSenaryolari
CONG-1357;887582;Masraf tipi Yakıt için zorunlu alanlar kontrol senaryosu ;Medium;Generic;Done;01/Feb/22 12:21 PM;PASS;C9011306;C9015107;/Masraf/Turkiye-Arçelik A.Ş/RegresyonSeti/ZorunluAlanKontrolSenaryoları
CONG-1358;887593;Anasayfa Ingilizce Dil Seçeneği Kontrolleri;Low;Generic;Done;01/Feb/22 12:33 PM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1360;887596;Fatura Arama Ekranında Ingilizce Dil Seçeneğinin Kontrolleri;Low;Generic;Done;01/Feb/22 12:39 PM;TODO;C9013469;C9013469;/Fatura/Polonya/KontrolSenaryolari
CONG-1363;888013;Masraf tipi Taksi için zorunlu alanlar kontrol senaryosu ;Medium;Generic;Done;01/Feb/22 12:53 PM;PASS;C9011306;C9015107;/Masraf/Turkiye-Arçelik A.Ş/RegresyonSeti/ZorunluAlanKontrolSenaryoları
CONG-1364;888023;Masraf tipi Köprü, Otoyol ,vb geçiş için zorunlu alanlar kontrol senaryosu ;Medium;Generic;Done;01/Feb/22 1:03 PM;PASS;C9011306;C9015107;/Masraf/Turkiye-Arçelik A.Ş/RegresyonSeti/ZorunluAlanKontrolSenaryoları
CONG-1379;892086;Faturanin Zorunlu Alanlarini Bos Birakarak Onaylarken Uyari Mesajlarinin Alinmasi;Medium;Generic;Done;02/Feb/22 4:53 PM;ABORTED;C9029068;C9029068;/Fatura/Polonya/SmokeTest
CONG-1385;893499;Faturanın kur bilgisinin değiştirilmesi;Low;Generic;Done;03/Feb/22 1:12 PM;PASS;C9013469;C9013469;/Fatura/Polonya/SmokeTest
CONG-1426;897845;Matbu Muhasebeleşmemiş Vergili SAS'sız Karlılıksız Endirekt kombinasyonlu faturanın, fatura kalemlerine veri girilerek fatura sahibine gönderilmesi;High;Generic;Done;04/Feb/22 5:12 PM;TODO;C9029069;C9029069;/Fatura/Polonya/RegresyonSeti
CONG-1427;897854;Matbu Muhasebeleşmemiş Vergili SAS'sız Karlılıksız Endirekt kombinasyonlu faturanın mali işler adımında belge no girilmeden onaylanması;High;Generic;;04/Feb/22 5:22 PM;TODO;C9029069;C9029069;/Fatura/Polonya/RegresyonSeti
CONG-1429;899627;Matbu Muhasebeleşmiş Vergili SAS'sız Karlılıksız Endirekt kombinasyonlu faturanın, fatura kalemlerine veri girilerek fatura sahibine gönderilmesi;High;Generic;Done;07/Feb/22 10:39 AM;TODO;C9029069;C9029069;/Fatura/Polonya/AkisSenaryolari
CONG-1430;899646;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";High;Manual;;07/Feb/22 10:54 AM;ABORTED;C9029068;C9029068;/Fatura/Polonya/AkisSenaryolari/ManuelTestler
CONG-1431;899664;Matbu Muhasebeleşmemiş Vergili SAS'sız Karlılıklı Endirekt kombinasyonlu faturanın, fatura kalemlerine veri girilerek fatura sahibine gönderilmesi;High;Generic;Done;07/Feb/22 11:02 AM;TODO;C9029069;C9029069;/Fatura/Polonya/RegresyonSeti
CONG-1432;899672;Matbu Muhasebeleşmemiş Vergili SAS'sız Karlılıklı Endirekt kombinasyonlu faturanın mali işler adımında belge no girilmeden onaylanması;High;Generic;;07/Feb/22 11:05 AM;TODO;C9029069;C9029069;/Fatura/Polonya/RegresyonSeti
CONG-1433;899690;Farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Medium;Generic;Done;07/Feb/22 11:14 AM;ABORTED;C9029068;C9029068;/Fatura/Polonya/AkisSenaryolari
CONG-1434;899803;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Medium;Manual;;07/Feb/22 11:24 AM;TODO;C9013469;C9013469;/Fatura/Polonya/AkisSenaryolari/ManuelTestler
CONG-1435;899813;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;Done;07/Feb/22 11:39 AM;TODO;C9013469;C9013469;/Fatura/Polonya/AkisSenaryolari
CONG-1436;899818;"Polonya - Matbu - Muhasebeleşmemiş Vergili SAS'sız Karlılıksız Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Manual;;07/Feb/22 11:44 AM;TODO;C9013627;C9014844;/Fatura/Polonya/AkisSenaryolari/ManuelTestler
CONG-1437;899827;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;07/Feb/22 11:47 AM;TODO;C9013469;C9013469;/Fatura/Polonya/AkisSenaryolari
